Spp_jetz;animal;Imports
Falco_pelegrinoides;Falco_pelegrinoides;392
Falco_peregrinus;Falco_peregrinus;12482
Falco_punctatus;Falco_punctatus;135
Falco_rufigularis;Falco_rufigularis;68
Falco_rupicoloides;Falco_rupicoloides;63
Falco_rusticolus;Falco_rusticolus;21960
Falco_sparverius;Falco_sparverius;1970
Falco_subbuteo;Falco_subbuteo;625
Falco_tinnunculus;Falco_tinnunculus;1464
Falco_vespertinus;Falco_vespertinus;351
Florisuga_fusca;Florisuga_fusca;8
Florisuga_mellivora;Florisuga_mellivora;103
Forpus_coelestis;Forpus_coelestis;74262
Forpus_conspicillatus;Forpus_conspicillatus;574
Forpus_cyanopygius;Forpus_cyanopygius;235
Forpus_modestus;Forpus_modestus;5
Forpus_passerinus;Forpus_passerinus;26784
Forpus_xanthops;Forpus_xanthops;1382
Forpus_xanthopterygius;Forpus_xanthopterygius;2377
Gallicolumba_crinigera;Gallicolumba_crinigera;4
Gallicolumba_luzonica;Gallicolumba_luzonica;1502
Gallirallus_australis;Gallirallus_australis;3
Gallirallus_sylvestris;Gallirallus_sylvestris;105
Gallus_sonneratii;Gallus_sonneratii;1099
Garrulax_canorus;Garrulax_canorus;1561
Garrulax_formosus;Garrulax_formosus;738
Garrulax_galbanus;Garrulax_galbanus;30
Garrulax_milnei;Garrulax_milnei;1442
Geoffroyus_geoffroyi;Geoffroyus_geoffroyi;1650
Geoffroyus_heteroclitus;Geoffroyus_heteroclitus;1174
Geoffroyus_simplex;Geoffroyus_simplex;3
Geranoaetus_melanoleucus;Geranoaetus_melanoleucus;365
Geranospiza_caerulescens;Geranospiza_caerulescens;3
Geronticus_calvus;Geronticus_calvus;111
Geronticus_eremita;Geronticus_eremita;1139
Glaucidium_brasilianum;Glaucidium_brasilianum;1578
Glaucidium_brodiei;Glaucidium_brodiei;110
Glaucidium_capense;Glaucidium_capense;18
Glaucidium_cuculoides;Glaucidium_cuculoides;55
Glaucidium_gnoma;Glaucidium_gnoma;33
Glaucidium_jardinii;Glaucidium_jardinii;14
Glaucidium_minutissimum;Glaucidium_minutissimum;1
Glaucidium_passerinum;Glaucidium_passerinum;149
Glaucidium_perlatum;Glaucidium_perlatum;551
Glaucidium_peruanum;Glaucidium_peruanum;50
Glaucidium_tephronotum;Glaucidium_tephronotum;10
Glaucis_hirsutus;Glaucis_hirsutus;105
Glossopsitta_concinna;Glossopsitta_concinna;673
Glossopsitta_porphyrocephala;Glossopsitta_porphyrocephala;6
Goura_cristata;Goura_cristata;1254
Goura_scheepmakeri;Goura_scheepmakeri;338
Goura_victoria;Goura_victoria;1609
Gracula_religiosa;Gracula_religiosa;223416
Graydidascalus_brachyurus;Graydidascalus_brachyurus;88
Grus_americana;Grus_americana;326
Grus_antigone;Grus_antigone;228
Grus_canadensis;Grus_canadensis;222
Grus_carunculatus;Grus_carunculatus;212
Grus_grus;Grus_grus;428
Grus_japonensis;Grus_japonensis;794
Grus_leucogeranus;Grus_leucogeranus;220
Grus_monacha;Grus_monacha;114
Grus_nigricollis;Grus_nigricollis;99
Grus_paradisea;Grus_paradisea;568
Grus_rubicunda;Grus_rubicunda;21
Grus_vipio;Grus_vipio;425
Grus_virgo;Grus_virgo;5550
Guaruba_guarouba;Guaruba_guarouba;1600
Gubernatrix_cristata;Gubernatrix_cristata;227
Gymnogyps_californianus;Gymnogyps_californianus;70
Gypaetus_barbatus;Gypaetus_barbatus;388
Gypohierax_angolensis;Gypohierax_angolensis;793
Gyps_africanus;Gyps_africanus;1437
Gyps_bengalensis;Gyps_bengalensis;63
Gyps_coprotheres;Gyps_coprotheres;218
Gyps_fulvus;Gyps_fulvus;316
Gyps_himalayensis;Gyps_himalayensis;49
Gyps_indicus;Gyps_indicus;1
Gyps_rueppellii;Gyps_rueppellii;749
Haliaeetus_albicilla;Haliaeetus_albicilla;661
Haliaeetus_leucocephalus;Haliaeetus_leucocephalus;836
Haliaeetus_leucogaster;Haliaeetus_leucogaster;39
Haliaeetus_leucoryphus;Haliaeetus_leucoryphus;7
Haliaeetus_pelagicus;Haliaeetus_pelagicus;237
Haliaeetus_vocifer;Haliaeetus_vocifer;299
Haliaeetus_vociferoides;Haliaeetus_vociferoides;2
Haliastur_indus;Haliastur_indus;73
