"","tip","X","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","Species3","Order3"
"85","Amphispiza bilineata",107,"Amphispiza bilineata","AMPBIL02","BTSP03","Haemoproteus","Amphispiza bilineata","Amphispiza_bilineata","yes","Amphispiza bilineata","AMPBIL02 Amphispiza bilineata","Amphispiza bilineata","Passeriformes"
"86","Amphispiza bilineata",108,"Amphispiza bilineata","TROAED24","BTSP08","Plasmodium","Amphispiza bilineata","Amphispiza_bilineata","yes","Amphispiza bilineata","TROAED24 Amphispiza bilineata","Amphispiza bilineata","Passeriformes"
"87","Anairetes parulus",109,"Anairetes parulus","TROAED20","","Haemoproteus","Anairetes parulus",NA,NA,"Anairetes parulus","TROAED20 Anairetes parulus","Anairetes parulus","Passeriformes"
"88","Andropadus gracilis",128,"Andropadus gracilis","GRW09","P46","Plasmodium","Andropadus gracilis","Andropadus_gracilis","yes","Andropadus gracilis","GRW09 Andropadus gracilis","Andropadus gracilis","Passeriformes"
"89","Andropadus latirostris",129,"Andropadus latirostris","ANLAT07","PV9","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT07 Andropadus latirostris","Andropadus latirostris","Passeriformes"
"90","Andropadus latirostris",130,"Andropadus latirostris","GRW09","PV12","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","GRW09 Andropadus latirostris","Andropadus latirostris","Passeriformes"
"91","Andropadus latirostris",131,"Andropadus latirostris","ANLAT05","PV2","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT05 Andropadus latirostris","Andropadus latirostris","Passeriformes"
"92","Andropadus latirostris",132,"Andropadus latirostris","ANLAT09","PV4L","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT09 Andropadus latirostris","Andropadus latirostris","Passeriformes"
"93","Andropadus latirostris",133,"Andropadus latirostris","ANLAT01","pANLA1","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT01 Andropadus latirostris","Andropadus latirostris","Passeriformes"
"94","Andropadus latirostris",134,"Andropadus latirostris","PHICT01","WA16","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","PHICT01 Andropadus latirostris","Andropadus latirostris","Passeriformes"
"95","Andropadus latirostris",135,"Andropadus latirostris","ANLAT04","WA17","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT04 Andropadus latirostris","Andropadus latirostris","Passeriformes"
"96","Andropadus latirostris",136,"Andropadus latirostris","ANLAT06","PV6","Plasmodium","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT06 Andropadus latirostris","Andropadus latirostris","Passeriformes"
