"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"87","MOLBAD01","37","Haemoproteus"
"88","SEIAUR01","SPTO_CA_ELW_6P","Plasmodium"
"89","RWB01","","Plasmodium"
"90","OCHRUF02","","Leucocytozoon"
"94","SYAT05","","Plasmodium"
"95","ALCLEU01","H59","Haemoproteus"
"96","POMFER01","P47","Plasmodium"
"97","ALMOR06","","Haemoproteus"
"98","ALMOR08","","Haemoproteus"
"99","ALCPOI02","","Haemoproteus"
"100","ALCPOI04","","Haemoproteus"
"101","ALEDIA02","WA19","Plasmodium"
"102","ALEDIA01","P14","Plasmodium"
"103","GRW09","P46","Plasmodium"
"104","ALBRE01","","Haemoproteus"
"105","DENPET03","","Plasmodium"
"107","AMPBIL02","BTSP03","Haemoproteus"
"108","TROAED24","BTSP08","Plasmodium"
"110","ANACU04","NOPI04","Leucocytozoon"
"111","COBRA02","BWTE33","Leucocytozoon"
"113","NYCNYC01","BWTE04","Plasmodium"
"115","PESA01","BWTE05","Plasmodium"
"116","HELLI01","BWTE18","Leucocytozoon"
"117","BWTE22","BWTE22","Leucocytozoon"
"118","TUSW05","BWTE23","Leucocytozoon"
"120","CYGNUS01","BWTE01","Haemoproteus"
"121","TUSW03","BWTE26","Leucocytozoon"
"122","STVAR04","BWTE07","Plasmodium"
"123","BWTE19","BWTE19","Leucocytozoon"
"124","MYCAME02","BWTE14","Plasmodium"
"126","ANAGEO01","","Plasmodium"
"129","ANLAT07","PV9","Plasmodium"
"131","ANLAT05","PV2","Plasmodium"
"132","ANLAT09","PV4L","Plasmodium"
"133","ANLAT01","pANLA1","Plasmodium"
"134","PHICT01","WA16","Plasmodium"
"135","ANLAT04","WA17","Plasmodium"
"136","ANLAT06","PV6","Plasmodium"
"137","ANLAT02","hANLA1","Haemoproteus"
"139","WW3","WW7","Plasmodium"
"141","CREFUR01","1 JM-2013","Haemoproteus"
"143","BELL01","LIN1","Plasmodium"
"145","PLOPRI01","P34,P35","Plasmodium"
"146","PYSUN1","PV15,PV15a","Plasmodium"
"147","HEDCOL01","PV39,PV39a","Plasmodium"
"149","RECOB4","PV25","Plasmodium"
"151","REB11","","Leucocytozoon"
"152","LK05","PAL282","Plasmodium"
"153","LK06","TF413","Plasmodium"
"154","TRPIP1","","Leucocytozoon"
"157","YWT2","","Haemoproteus"
"158","PBPIP1","ANTRI01","Plasmodium"
"159","LAIRI01","","Plasmodium"
"160","APHCAL01","","Leucocytozoon"
"161","ZOLPYR01","AspChL2","Leucocytozoon"
"162","DIUDIU11","AspChL1","Leucocytozoon"
"163","APSPI15","AspChH1","Haemoproteus"
"164","ELAALB05","AspChL4","Leucocytozoon"
"165","CATUST05","H24","Plasmodium"
"166","APSPI10","AspChL9","Leucocytozoon"
"167","APTPAT01","","Plasmodium"
"169","ZOCAP14","","Haemoproteus"
"170","ARBRU02","","Haemoproteus"
"171","ARRFLA01","H07","Haemoproteus"
"172","COLL4","H27","Plasmodium"
"174","ARRTAC01","","Plasmodium"
"175","TROAED02","","Leucocytozoon"
"176","BUTMO01","THRBON02","Leucocytozoon"
"178","ASIFLA01","","Leucocytozoon"
"179","CIRCUM01","CIRCUM01","Haemoproteus"
"180","ASOT03","","Haemoproteus"
"181","ASOT06","","Leucocytozoon"
"182","ASOT1","","Leucocytozoon"
"184","ATNO1","H145","Leucocytozoon"
"185","BAEBIC02","SOSP_CA3P","Plasmodium"
"186","PAVER01","ATLLAT05,CHLRIE02","Leucocytozoon"
"188","ATMEL01","DICER-01","Haemoproteus"
"189","TUSW04","","Leucocytozoon"
"190","GYMCYA01","","Leucocytozoon"
